Date,Price
9/4/2020,73.659
9/5/2020,82.4291
9/6/2020,82.89
9/7/2020,83.0414
9/8/2020,85.5059
9/9/2020,84.2996
9/10/2020,75.9582
9/11/2020,72.6631
9/12/2020,67.8964
9/13/2020,68.2029
9/14/2020,67.3444
9/15/2020,67.713
9/16/2020,67.5706
9/17/2020,63.9965
9/18/2020,59.8288
9/19/2020,59.1259
9/20/2020,58.6276
9/21/2020,62.1866
9/22/2020,63.0234
9/23/2020,62.6237
9/24/2020,63.7105
9/25/2020,58.6159
9/26/2020,58.1116
9/27/2020,58.4005
9/28/2020,58.9412
9/29/2020,58.3483
9/30/2020,58.3668
10/1/2020,61.3368
10/2/2020,61.5531
10/3/2020,60.661
10/4/2020,61.646
10/5/2020,62.7207
10/6/2020,62.1748
10/7/2020,63.2181
10/8/2020,62.3959
10/9/2020,59.5141
10/10/2020,60.6794
10/11/2020,60.3854
10/12/2020,60.3395
10/13/2020,60.7983
10/14/2020,59.7924
10/15/2020,57.7394
10/16/2020,57.6807
10/17/2020,56.9742
10/18/2020,56.2878
10/19/2020,57.1201
10/20/2020,59.1138
10/21/2020,67.9009
10/22/2020,66.4477
10/23/2020,62.1722
10/24/2020,61.5355
10/25/2020,61.9991
10/26/2020,61.3771
10/27/2020,66.6218
10/28/2020,66.9471
10/29/2020,64.4577
10/30/2020,63.8973
10/31/2020,68.4316
11/1/2020,69.7611
11/2/2020,72.2797
11/3/2020,71.6464
11/4/2020,69.9467
11/5/2020,72.5426
11/6/2020,74.2531
11/7/2020,70.1482
11/8/2020,69.8342
11/9/2020,71.8134
11/10/2020,68.4726
11/11/2020,66.6233
11/12/2020,66.81
11/13/2020,67.899
11/14/2020,68.5205
11/15/2020,69.2189
11/16/2020,67.9223
11/17/2020,74.7172
11/18/2020,82.7878
11/19/2020,73.7655
11/20/2020,79.0966
11/21/2020,82.7059
11/22/2020,84.5826
11/23/2020,90.3985
11/24/2020,91.9921
11/25/2020,91.7838
11/26/2020,90.7486
11/27/2020,86.1731
11/28/2020,79.9687
11/29/2020,80.076
11/30/2020,93.2328
12/1/2020,97.2816
12/2/2020,87.4259
12/3/2020,85.226
12/4/2020,83.4428
